"","Row.names","PC1","PC2","PC3","X","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"19","1045",0.157238018337185,-0.0742173822794288,0.056128961223424,1045,521033,"QULA",89,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,10.5847506328641,0.0706858347057703,116.337710628549,200.191533554812
"20","1048",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1048,521037,"QULA",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,6.93110917666712,0.0084948665353068,223.392087174966,245.855533815152
"21","1051",0.0990984917217518,-0.0454054163627332,0.0200881248662297,1051,521042,"QULA",92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,19.3707854719081,0.0172033613710577,169.112732997277,416.892764509663
"22","1055",-0.0832308950478579,0.128737241761104,-0.135915006136107,1055,523016,"QULA",67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,1.38417510325704,0.0196066797510539,227.788944726639,455.545253370729
"23","1056",-0.0822000878398833,-0.0354219599888999,-0.142558066068577,1056,523017,"QULA",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,4.68768182827176,0.040828138126053,223.645229662348,775.596699412282
"24","106",-0.0649638257885071,-0.0248298234548408,0.00627044623507096,106,109013,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7536,4.1618920323919,0.0128679635091038,92.2546657154502,298.653119152929
"25","1061",0.134674103306244,-0.0514449482843793,-0.115268846022112,1061,523023,"QULA",9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.4968,4.22484375821716,0.0021237166338267,210.940775119691,360.482746798019
"26","1065",0.0990984917217517,-0.0454054163627332,0.0200881248662297,1065,523029,"QULA",100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.95059269659808,0.00738981131940659,405.785576261939,353.238758221499
"27","1067",0.134674103306244,-0.0514449482843793,-0.115268846022112,1067,523031,"QULA",95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,10.0074268959618,0.029864765163188,220.792279806406,482.883645544407
"28","1068",0.0990984917217518,-0.0454054163627332,0.0200881248662297,1068,523032,"QULA",97,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,33.6237394204979,0.0183853856069709,275.68742011508,344.174224915082
"29","1069",-0.064963825788507,-0.0248298234548409,0.00627044623507089,1069,523033,"QULA",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,5.8476697413461,0.0174366246255867,249.514875174095,281.931343837919
"30","1072",0.184649795489093,-0.0713021290512859,-0.134960123935768,1072,523039,"QULA",13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8872,8.04181146719867,0.0585349397198484,78.3747437870527,351.196614954222
"31","1076",0.0223530000612497,-0.0542526757823956,0.0369400834022866,1076,701004,"QULA",65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.05791031416879,0.0304805173232916,50.1874818064187,954.07106578285
"32","1082",-0.0649638257885071,-0.0248298234548409,0.00627044623507088,1082,701012,"QULA",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,21.0383928757031,0.0514718540364152,97.2466380549589,559.294496457656
"33","1084",-0.064963825788507,-0.0248298234548409,0.00627044623507088,1084,701017,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.43598743095102,0.0181458391671346,263.051518981607,476.295949003239
"34","1085",-0.064963825788507,-0.0248298234548409,0.00627044623507088,1085,701019,"QULA",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.84068178387662,0.0295592452776264,230.152896597722,393.811834773595
"35","109",-0.131209584306577,-0.0573376778336655,0.0260576651249791,109,109019,"QULA",94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.7536,3.69993193618496,0.0263021990940171,117.316240002247,174.863731734545
"36","110",-0.0649638257885071,-0.0248298234548408,0.00627044623507096,110,109021,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7536,5.76599886952763,0.0176714586764426,159.373666382248,113.920074077649
"37","1107",-0.0755422198780669,0.101414303024919,0.0240392177112658,1107,703007,"QULA",72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0,0.0437435361085843,104.886846701536,382.80052841941
"38","111",-0.0649638257885071,-0.0248298234548408,0.00627044623507096,111,109025,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7536,0.232397103613303,0.00125663706143592,169.020174987253,271.146266442714
"39","1110",-0.064963825788507,-0.0248298234548409,0.00627044623507088,1110,703014,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.21017316835745,0.000254469004940773,352.111377856977,235.919587870074
"40","1111",-0.0649638257885071,-0.0248298234548409,0.00627044623507088,1111,703015,"QULA",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.16964405094929,0.0277591126871194,338.960362425254,373.330985981871
"41","1112",-0.064963825788507,-0.0248298234548409,0.00627044623507088,1112,703016,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,13.6595948273895,0.0172033613710577,482.063373650594,343.667644083505
"42","1113",0.0990984917217517,-0.0454054163627333,0.0200881248662297,1113,703017,"QULA",92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.55657996151858,0.0122718463030851,562.334072048846,405.545144478637
"43","1115",0.0990984917217517,-0.0454054163627333,0.0200881248662297,1115,703019,"QULA",91,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.92177646387452,0.0116898662640076,737.434937611688,345.575413698149
"44","1116",-0.064963825788507,-0.0248298234548409,0.00627044623507088,1116,703020,"QULA",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,9.17113167827277,0.037668481314705,394.06250786336,419.539491561899
"45","1119",0.0123015678428877,-0.041731826946385,0.0114116566642258,1119,703023,"QULA",97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,5.21745797120448,0.0162860163162095,293.129780628904,844.580780822942
