"","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"6275",2119072,"PIPA",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,0,0.0075429639612691,952.145104128669,89.5004589414404
"6276",2119073,"PIPA",94,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,0,0.014957122623741,1607.02120573737,5.25315985057593
"6277",2119075,"PIPA",99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,5.67384687423208,0.0243284935093994,1481.89680834058,0
"6278",2119078,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,2.58301095268909,0.0326851299679482,1284.65054846349,30.8796890463116
"6279",2119081,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,3.4419247888988,0.0254469004940773,1040.97441974299,49.972993589434
"6280",2119082,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,6.6581495916403,0.0229658276959048,1020.41992539331,62.3981224634076
"6281",2119083,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,10.2583778430522,0.026590440219984,890.826633488149,67.8259753030484
"6282",2119084,"PIPA",72,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,-0.982735356393234,0.00882473376393373,1021.44499528743,73.8756353138769
"6283",2119086,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,1.04542979699249,0.0870920169409796,575.08591214601,80.2981548837074
"6284",2119088,"QULA",67,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,0.614405517872649,0.00738981131940659,246.256045475134,525.554514167638
"6285",2119089,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,10.8085215593106,0.143200861734093,313.343974887476,84.138823425599
"6286",2119091,"QULA",22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,0.852644392149792,0.0143138815279185,203.392062797472,526.176103840313
"6287",2119092,"QULA",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,0.421620113029951,0.0141026094219646,188.134762462303,525.603439775187
"6288",2121001,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,7.4528016262358,0.0179078635236252,987.754279020714,0
"6289",2121002,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,5.77415797919089,0.0725833566685386,628.30746824785,45.252329132499
"6290",2121003,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,9.523285527026,0.0346360590058275,1020.40859848984,0
"6291",2121004,"PIPA",28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,-1.40278810840821,0.006647610054996,1045.46380881855,0
"6292",2121005,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,9.80384314870765,0.0317308711994203,1009.11238786832,0
"6293",2121006,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.67695792382007,0.0339794661412272,974.155981373951,0
"6294",2121007,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,7.85718076810096,0.0589645525152268,1236.19042474724,0
"6295",2121008,"PIPA",98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,16.0952302628424,0.0430052618349907,1134.08925260265,0
"6296",2121009,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,0.509392329868905,0.0206119894002026,1541.24826828331,0
